Portal,Latitude,Longitude,Discovered
Camelodromo Beira Rio,-26.300121,-48.842478,Demoraes (Res) 
Igreja Assembléia De Deus Conjunto Zimbros,-25.466064,-49.340073,xXRIC69Xx (Res) 
Igreja Evangélica Missionária,-26.48321,-49.117658,S0matropina (Res) 
Igreja Deus É Amor,-26.527939,-49.137231,LauraPaula (Enl) 
Igreja Assembleia De Deus,-26.471684,-49.131791,WDenis (Enl) 
Igreja Casa de Deus,-26.475212,-49.031299,LauraPaula (Enl) 
Palhaço Louco,-25.470601,-49.308175,edyuji (Enl) 
Academia ao Ar Livre ,-25.456956,-49.351327,Amaralleo (Res) 
Igreja Mundial Araucária,-25.599273,-49.384755,wellsheldon (Res) 
Grafite Da Silva Jardim,-25.452574,-49.30126,Fabionik (Enl) 
Ponte João Franzener,-26.508269,-49.106995,PowManot (Enl) 
Placa da Praça Plinio Ancutti Pessôa,-25.457345,-49.352081,Amaralleo (Res) Amaralleo (Res) 
Capela Nossa Senhora Rainha da Paz,-25.462322,-49.314702,Irethor (Enl) 
Capela  Jesus Cai Pela Segunda Vez,-26.514965,-49.081481,Diogosav (Res) 
Academia Ao Ar Livre,-25.454213,-49.29266,ledg90 (Enl) 
C.C.B. Vila Sandra,-25.457146,-49.343477,Makenvrus (Enl) 
Igreja Verde,-26.293117,-48.962227,Demoraes (Res) 
Refúgio Igreja Cristã,-26.243209,-49.397562,Mictlantecuhtly (Enl) 
Marco Manoel Ribas,-25.40915,-49.322177,p1m3nt4 (Res) 
Grafite Em Homenagem A Rio Negrinho,-26.251248,-49.519459,AndrioRSB (Enl) 
Esquina Cultural,-25.428414,-49.264452,Hydraulinski (Enl) 
Unicesumar,-26.240873,-49.390632,ElrikAhryman (Res) 
Correios CDD,-26.479366,-49.067894,S0matropina (Res) 
Campo De Areia São Luís,-26.502596,-49.1059,S0matropina (Res) 
Igreja Amados De Deus,-26.480788,-49.098599,LauraPaula (Enl) 
Pedra Fundamental Ginásio SER Tigre,-26.316758,-48.860338,Demoraes (Res) 
Caixa D'água Salão de Exposições ,-25.427135,-49.312976,ClaudioCacaBR (Res) 
Parquinho do Bosque,-25.456096,-49.351057,Amaralleo (Res) 
Igreja Visão Missionária,-26.498575,-49.115175,S0matropina (Res) 
Capela Simao Ajuda Jesus Carregar A Cruz,-26.512984,-49.083194,Diogosav (Res) 
Capela  SACRIFICIO de Jesus,-26.507525,-49.086531,Diogosav (Res) 
Centro de Cultura Alemã,-26.493366,-49.072613,LauraPaula (Enl) 
Capela JESUS Recebe a Cruz,-26.508421,-49.085997,Diogosav (Res) 
Picho Flash Dentuço,-25.462664,-49.312019,Irethor (Enl) 
Farol do Saber Sérgio Mercer,-25.436366,-49.361425,MauroCWB (Enl) 
Igreja Ucrâniana Parque Tingui,-25.402275,-49.304819,LeandroBacovicz (Res) 
Fingers Painting,-25.467118,-49.298064,JayFranco2014 (Enl) Fabionik (Enl) 
Pichação Caveira Bola 8,-25.463488,-49.33929,xXRIC69Xx (Res) 
Antique Car - Arte Moderna,-25.409187,-49.321746,Hydraulinski (Enl) 
Capela Nossa Senhora Aparecida,-26.463746,-49.129912,WDenis (Enl) 
Fonte Café Paris,-26.188606,-48.933375,Demoraes (Res) 
Academia comunitária ,-26.268449,-48.885729,RSarandiel (Enl) 
Centro De Cultura,-26.102933,-49.797734,CleyErz (Res) 
Igreja Adventista do Sétimo Dia,-26.481033,-49.074632,LauraPaula (Enl) 
Igreja Semear,-25.494414,-49.347417,xXRIC69Xx (Res) MauroCWB (Enl) 
Campo Poliesportivo,-26.273253,-48.863025,marcipsi (Enl) 
Graffiti Canoa,-26.265927,-48.840859,Hainric (Res) 
Arsepum,-26.468774,-49.101096,Karakondjulo (Res) 
Igreja do Evangelho Quadrangular,-26.152994,-48.905713,FeExred (Enl) 
Univille Unidade Centro ,-26.308636,-48.844204,BicoSan (Res) 
Capela Verônica Enxuga O Rosto De Jesus,-26.513745,-49.082829,Diogosav (Res) 
Vila Florestal,-25.371346,-49.054676,Agent_4299933 (Res) 
Capela Primeira Queda de Jesus,-26.509511,-49.084888,Diogosav (Res) 
Comunidade São Benedito,-26.501675,-49.065319,Sabotador (Enl) Prieduarda (Enl) 
Parquinho Zimbros ,-25.464668,-49.338831,xXRIC69Xx (Res) 
Centro De Convenções ,-26.293217,-48.843979,GehringerBR (Enl) 
Hora Do Pico Grafite,-25.818355,-48.529914,AsthompBr (Enl) 
Monumento À Paz ,-26.114953,-49.794385,CleyErz (Res) 
Grafite De Touca ,-25.475942,-49.303315,Totorogirl (Res) 
Tigrão ,-25.447813,-49.30802,ClaudioCacaBR (Res) 
Clube Dos Sargentos,-26.10747,-49.790302,CleyErz (Res) 
Mirante Do Rio Negro,-26.10969,-49.784388,CleyErz (Res) 
Teatro a céu aberto,-26.480009,-49.085724,AxlHunter (Res) 
Mural Darth Vader,-26.482249,-49.085618,PowManot (Enl) 
FAMEG,-26.474635,-49.026047,LauraPaula (Enl) 
Grafite,-25.441433,-49.285949,Perwa02 (Res) 
Grafite Mina De Óculos,-25.435928,-49.286058,rsfrantz (Res) 
Igreja Salāo Do Reino Das Testemunhas De Jeová,-25.555957,-49.153905,toshikomura (Res) 
Igreja Ortodoxa Ucraniana - Curitiba  - Paraná ,-25.427119,-49.298154,Eric16 (Res) 
Pracinha Parque Barigui ,-25.425969,-49.306114,ClaudioCacaBR (Res) 
Mapa de Localização Parque Barigui,-25.426282,-49.308147,ClaudioCacaBR (Res) 
Igreja Presbiteriana Renovada Central ,-25.433553,-49.297119,edyuji (Enl) 
Tortuga Feliz,-25.429859,-49.288218,frecklesrn (Res) 
Jardinete Nelson Baptista Ribas,-25.429183,-49.286899,josecandido (Enl) 
Marco Da Divisa Dos Estados,-26.109703,-49.802996,FJRmiiller (Enl) 
Monumento A Erva Mate,-26.108913,-49.793007,FJRmiiller (Enl) 
Palacete Da Rua XVI,-26.108936,-49.800965,CleyErz (Res) 
Totem Da Máxima Enchente ,-26.112202,-49.802859,CleyErz (Res) 
Praça do Rocio,-25.010887,-47.929888,SarumanTheBlue (Res) 
Bola de Neve Church,-25.012812,-47.929159,SarumanTheBlue (Res) 
SRBU,-25.013424,-47.928898,SarumanTheBlue (Res) 
O Pinguim,-25.45724,-49.290091,Totorogirl (Res) 
